# Acquisition started at 12/08/2022 - 14:30:17 
#
#******************************************* 
#
Event	EvType	ASIC	ChType	Ch	ADC
936	011	2	10	11		550
937	011	2	10	29		619
938	011	2	11	0		0
939	011	2	10	22		559
940	011	2	10	29		641
941	011	2	10	7		722
942	011	2	10	22		567
943	011	2	10	15		600
944	011	2	10	18		569
945	011	2	10	23		573
946	011	2	10	21		582
947	011	2	10	16		656
948	011	2	10	5		562
949	011	2	10	3		572
950	011	2	10	20		618
951	011	2	11	0		0
952	011	2	10	11		573
953	011	2	10	29		667
954	011	2	10	7		541
955	011	2	10	9		569
956	011	2	10	26		621
957	011	2	10	29		610
958	011	2	10	6		606
959	011	2	10	20		577
960	000	2	00	9		545
960	011	2	10	10		582
961	011	2	10	28		546
962	011	2	10	16		591
963	000	2	00	2		592
963	011	2	10	3		601
964	011	2	10	24		580
965	000	2	00	14		592
965	011	2	10	23		557
966	011	2	10	0		607
967	011	2	10	9		542
968	011	2	10	23		550
969	011	2	10	0		584
970	011	2	10	29		619
971	011	2	10	22		585
972	011	2	11	0		0
973	011	2	10	19		586
974	011	2	10	9		550
975	011	2	10	30		581
976	011	2	10	0		586
977	011	2	10	21		637
978	011	2	10	0		607
979	011	2	10	13		544
980	011	2	10	25		570
981	011	2	10	23		596
982	011	2	10	0		614
983	011	2	10	30		618
984	011	2	10	2		595
985	011	2	10	27		629
986	011	2	10	10		591
987	011	2	11	0		0
988	011	2	10	4		638
989	011	2	10	18		554
990	011	2	10	28		590
991	011	2	10	1		597
992	011	2	10	30		693
993	011	2	10	0		623
994	011	2	10	11		555
995	011	2	10	30		693
996	011	2	10	6		645
997	011	2	10	4		623
998	011	2	10	7		1085
999	011	2	10	4		616
1000	011	2	10	21		564
1001	011	2	10	14		556
1002	011	2	10	30		635
1003	011	2	10	22		574
1004	000	2	00	17		629
1004	011	2	10	18		659
1005	011	2	10	19		580
1006	011	2	10	3		633
1007	011	2	10	14		653
1008	011	2	10	21		549
1009	011	2	10	29		614
1010	000	2	00	0		585
1010	000	2	00	6		751
1010	011	2	10	22		560
1011	011	2	10	9		606
1012	011	2	11	0		0
1013	011	2	10	20		612
1014	011	2	10	30		598
1015	011	2	10	29		644
1016	011	2	10	11		585
1017	011	2	10	27		608
1018	011	2	10	9		555
1019	011	2	10	11		555
1020	011	2	10	20		601
1021	011	2	10	24		556
1022	011	2	10	4		582
1023	011	2	10	0		591
1024	011	2	10	0		625
1025	011	2	10	21		614
1026	011	2	10	28		561
1027	011	2	10	3		613
1028	011	2	10	5		588
1029	011	2	10	0		658
1030	011	2	10	23		654
1031	011	2	10	1		567
1032	011	2	10	29		596
1033	011	2	10	18		576
1034	011	2	10	2		635
1035	011	2	10	4		582
1036	011	2	10	1		618
1037	011	2	10	3		561
1038	011	2	11	0		0
1039	011	2	10	20		669
1040	011	2	10	30		602
1041	011	2	10	6		680
1042	011	2	10	31		571
1043	011	2	10	5		592
1044	011	2	10	30		613
1045	011	2	10	24		642
1046	011	2	10	17		586
1047	011	2	10	11		628
1048	011	2	10	15		570
1049	011	2	10	10		593
1050	011	2	10	1		697
1051	011	2	10	1		576
1052	011	2	10	5		537
1053	011	2	10	30		785
1054	011	2	10	6		676
1055	011	2	10	2		548
1056	011	2	10	22		576
1057	011	2	10	4		661
1058	011	2	10	13		601
1059	011	2	10	4		570
1060	000	2	00	13		758
1060	011	2	10	14		708
1061	011	2	10	10		585
1062	011	2	10	15		636
1063	000	2	00	22		625
1063	011	2	10	23		642
1064	011	2	10	14		552
1065	011	2	10	26		627
1066	011	2	11	0		0
1067	011	2	10	30		715
1068	011	2	10	30		578
1069	011	2	10	20		566
1070	000	2	00	0		601
1070	011	2	10	30		628
1071	011	2	10	4		644
1072	011	2	10	22		580
1073	011	2	10	21		549
1074	000	2	00	21		596
1074	011	2	10	26		570
1075	000	2	00	5		534
1075	011	2	10	6		578
1076	011	2	10	15		578
1077	011	2	10	12		630
1078	011	2	10	4		594
1079	011	2	10	8		643
1080	011	2	11	0		0
1081	011	2	10	20		729
1082	011	2	10	30		584
1083	011	2	10	8		667
1084	011	2	10	6		618
1085	011	2	10	6		578
1086	011	2	10	24		578
1087	011	2	10	2		650
1088	011	2	10	0		581
1089	011	2	11	0		0
1090	011	2	10	21		661
1091	011	2	10	24		651
1092	011	2	10	8		539
1093	011	2	10	30		612
1094	011	2	10	13		558
1095	011	2	10	20		566
1096	011	2	11	0		0
1097	011	2	10	21		638
1098	011	2	10	8		544
1099	011	2	10	24		546
1100	011	2	10	14		582
1101	011	2	10	20		578
1102	011	2	10	4		621
1103	011	2	10	29		598
